Country,Job Title,Rural,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,1,0.01%
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,1,0.01%
Austria,Automatic Data Processing Planner,Rural,1,0.01%
Austria,Automatic Data Processing Planner,Urban,1,0.01%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,1,0.01%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,1,0.01%
Austria,Clinical Data Specialist,Rural,1,0.01%
Austria,Computer or Data Processing Systems Consultant,Rural,1,0.01%
Austria,Computer or Data Processing Systems Consultant,Urban,2,0.02%
Austria,Crime Data Specialist,Urban,1,0.01%
Austria,Data Administrator,Rural,1,0.01%
Austria,Data Base Design Analyst,Rural,1,0.01%
Austria,Data Base Design Analyst,Urban,1,0.01%
Austria,Data Coder Operator,Rural,1,0.01%
Austria,Data Communications Software Consultant,Rural,1,0.01%
Austria,Data Communications Software Consultant,Urban,1,0.01%
Austria,Data Coordinator,Rural,2,0.02%
Austria,Data Entry Representative,Urban,1,0.01%
Austria,Data Entry Specialist,Rural,1,0.01%
Austria,Data Keyer,Urban,1,0.01%
Austria,Data Management Associate,Urban,1,0.01%
Austria,Data Management Information Technology Specialist,Urban,1,0.01%
Austria,Data Officer,Urban,2,0.02%
Austria,Data Processing Auditor,Rural,3,0.03%
Austria,Data Processing Systems Project Planner,Urban,1,0.01%
Austria,Data Security Analyst,Rural,1,0.01%
Austria,Data Security Analyst,Urban,1,0.01%
Austria,Data Systems Manager,Urban,1,0.01%
Austria,Data Warehouse Developer,Rural,1,0.01%
Austria,Data Warehousing Engineer,Rural,1,0.01%
Austria,Data Warehousing Engineer,Urban,4,0.04%
Austria,Data Warehousing Manager,Urban,1,0.01%
Austria,Database Administration Associate,Urban,1,0.01%
Austria,Database Administration Manager,Urban,1,0.01%
Austria,Database Architect,Urban,1,0.01%
Austria,Database Coordinator,Urban,1,0.01%
Austria,Database Design Analyst,Rural,1,0.01%
Austria,Database Developer,Urban,1,0.01%
Austria,Database Development and Administration Project Manager,Rural,1,0.01%
Austria,Database Engineer,Rural,2,0.02%
Austria,Database Manager,Urban,1,0.01%
Austria,Database Marketing Analyst,Rural,1,0.01%
Austria,Database Modeler,Urban,1,0.01%
Austria,Database Security Administrator,Rural,1,0.01%
Austria,Database Security Administrator,Urban,2,0.02%
Austria,Database Security Expert,Urban,1,0.01%
Austria,Database Software Technician,Rural,2,0.02%
Austria,Databases Computer Consultant,Rural,1,0.01%
Austria,Director of Data Operations,Rural,1,0.01%
Austria,Electronic Data Processing Auditor (EDP Auditor),Urban,1,0.01%
Austria,Field Artillery Automated Tactical Data System Specialist,Urban,1,0.01%
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),Rural,1,0.01%
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,1,0.01%
Austria,Geographic Information Systems Data Manager (GIS Data Manager),Rural,1,0.01%
Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,1,0.01%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Rural,1,0.01%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,3,0.03%
Austria,Internet Database Specialist,Rural,1,0.01%
Austria,Maintenance Data Analyst,Urban,1,0.01%
